date,area,cum_area
2019-11-14,0,2236223.5626630364
2019-11-15,13126.83005214567,2249350.392715182
2019-11-16,0,2249350.392715182
2019-11-17,0,2249350.392715182
2019-11-18,0,2249350.392715182
2019-11-19,0,2249350.392715182
2019-11-20,2564.83514800654,2251915.227863189
2019-11-21,0.18698503391801866,2251915.4148482224
2019-11-22,209060.84072212508,2460976.255570348
2019-11-23,0.7293981249755136,2460976.9849684727
2019-11-24,220736.7455694824,2681713.730537955
2019-11-25,251996.24786380288,2933709.978401758
2019-11-26,618969.1247920314,3552679.1031937893
2019-11-27,28562.676555339218,3581241.7797491285
2019-11-28,166.4163289784452,3581408.1960781068
2019-11-29,1248.6538245176537,3582656.8499026247
2019-11-30,4.633256122261697,3582661.4831587467
2019-12-01,83260.83224055402,3665922.315399301
2019-12-02,537.0000079786371,3666459.3154072794
2019-12-03,76168.9510680208,3742628.2664753003
2019-12-04,10200.401287649624,3752828.66776295
2019-12-05,1942.3906225190995,3754771.058385469
2019-12-06,1605.5116808091007,3756376.5700662783
2019-12-07,0,3756376.5700662783
2019-12-08,2.4857278513528634e-6,3756376.570068764
2019-12-09,53.96804526861985,3756430.5381140327
2019-12-10,84148.21454289854,3840578.752656931
2019-12-11,7920.9478828126985,3848499.7005397435
2019-12-12,297801.8416414815,4146301.542181225
2019-12-13,10160.698337721771,4156462.240518947
2019-12-14,0,4156462.240518947
2019-12-15,1273.9523816468968,4157736.192900594
2019-12-16,1872.5754732691348,4159608.768373863
2019-12-17,0.3088564428194062,4159609.077230306
2019-12-18,0,4159609.077230306
2019-12-19,19896.91145704541,4179505.9886873513
2019-12-20,76.26766460340059,4179582.256351955
2019-12-21,121952.26782169064,4301534.524173645
2019-12-22,0,4301534.524173645
2019-12-23,0,4301534.524173645
2019-12-24,0,4301534.524173645
2019-12-25,0.98280792681878,4301535.506981572
2019-12-26,148.41388298501022,4301683.920864557
2019-12-27,338140.6593449306,4639824.580209488
2019-12-28,250991.65038577135,4890816.230595259
2019-12-29,125.14649722984146,4890941.377092489
2019-12-30,298739.7412360908,5189681.11832858
2019-12-31,17993.520468658644,5207674.6387972385
2020-01-01,19912.385129383707,5227587.023926622
2020-01-02,5708.770133469054,5233295.7940600915
2020-01-03,24232.918496478047,5257528.712556569
2020-01-04,48758.980769911715,5306287.693326481
2020-01-05,46.88321162424634,5306334.5765381055
2020-01-06,16.70422101938682,5306351.280759124
