Date,lat_group,param,value
2019-08-30,3,PM25,3.4925633019999998
2019-08-30,2,PM10,7.656671190861112
2019-08-30,2,PM25,3.13265871925
2019-08-30,1,PM10,8.661166666625
2019-08-30,1,PM25,4.002895833875
2019-08-31,4,PM10,2.68532386375
2019-08-31,4,PM25,3.9102812499999997
2019-08-31,3,PM10,6.912518518777778
2019-08-31,3,PM25,3.551935866888889
2019-08-31,2,PM10,8.590812751694445
2019-08-31,2,PM25,3.5537908795555553
2019-08-31,1,PM10,9.801421875375
2019-08-31,1,PM25,4.2747225997500005
2019-09-01,4,PM10,5.2166473225
2019-09-01,4,PM25,4.00508333325
2019-09-01,3,PM10,11.062087961888889
2019-09-01,3,PM25,5.789925931666667
2019-09-01,2,PM10,11.74271040975
2019-09-01,2,PM25,5.891627867333333
2019-09-01,1,PM10,9.426921874125
2019-09-01,1,PM25,5.38470960025
2019-09-02,4,PM10,5.8776875
2019-09-02,4,PM25,3.4298509955
2019-09-02,3,PM10,15.710050723333334
2019-09-02,3,PM25,5.157164902777778
2019-09-02,2,PM10,15.178365524722222
2019-09-02,2,PM25,6.8002647473055555
2019-09-02,1,PM10,9.94244270875
2019-09-02,1,PM25,4.16646655025
2019-09-03,4,PM10,6.2176354175
2019-09-03,4,PM25,3.42425135875
2019-09-03,3,PM10,17.528674243333334
2019-09-03,3,PM25,5.326118398333334
2019-09-03,2,PM10,16.95699045986111
2019-09-03,2,PM25,6.4582201721666666
2019-09-03,1,PM10,11.1474312
2019-09-03,1,PM25,4.83431313125
2019-09-04,4,PM10,9.8143020825
2019-09-04,4,PM25,5.85411458425
2019-09-04,3,PM10,25.408169312222224
2019-09-04,3,PM25,7.130361330333333
2019-09-04,2,PM10,20.050047778305554
2019-09-04,2,PM25,7.331828801416667
2019-09-04,1,PM10,13.795984842500001
2019-09-04,1,PM25,5.540720279125
2019-09-05,4,PM10,11.914562499999999
2019-09-05,4,PM25,2.8891704547500003
2019-09-05,3,PM10,23.119875402222224
2019-09-05,3,PM25,6.688645161222222
2019-09-05,2,PM10,22.382230246388886
2019-09-05,2,PM25,7.473428096611111
2019-09-05,1,PM10,15.868902381249999
2019-09-05,1,PM25,4.907574442125
2019-09-06,4,PM10,75.9103229
2019-09-06,4,PM25,8.017947915
2019-09-06,3,PM10,102.23834572777778
2019-09-06,3,PM25,22.486740041111112
2019-09-06,2,PM10,46.57641440444444
2019-09-06,2,PM25,12.918098163833333
2019-09-06,1,PM10,16.1690260425
2019-09-06,1,PM25,5.051782197
2019-09-07,4,PM10,39.71315625
2019-09-07,4,PM25,5.087375000750001
2019-09-07,3,PM10,33.13395833333333
2019-09-07,3,PM25,6.212663159444444
2019-09-07,2,PM10,13.43914455975
2019-09-07,2,PM25,4.144126402444445
2019-09-07,1,PM10,7.381235322125
2019-09-07,1,PM25,2.2315378409999997
2019-09-08,4,PM10,7.58528125
2019-09-08,4,PM25,1.42872253775
2019-09-08,3,PM10,15.031189815555555
2019-09-08,3,PM25,4.449902061222222
2019-09-08,2,PM10,7.25086987425
2019-09-08,2,PM25,3.063381875222222
2019-09-08,1,PM10,4.4159375001250005
2019-09-08,1,PM25,1.994089921
2019-09-09,4,PM10,16.78840625
2019-09-09,4,PM25,1.8645625
2019-09-09,3,PM10,15.563408670333335
2019-09-09,3,PM25,4.9352044554444445
2019-09-09,2,PM10,10.330142411583333
2019-09-09,2,PM25,3.7694159340555555
2019-09-09,1,PM10,6.509526042125
2019-09-09,1,PM25,2.96990104175
2019-09-10,4,PM10,5.6308556549999995
2019-09-10,4,PM25,2.418251553
2019-09-10,3,PM10,16.342666666666666
2019-09-10,3,PM25,6.082406069555556
2019-09-10,2,PM10,14.881936209638887
2019-09-10,2,PM25,5.522501146583334
2019-09-10,1,PM10,9.1104739575
2019-09-10,1,PM25,4.12359501325
2019-09-11,4,PM10,10.54594952
2019-09-11,4,PM25,6.58385416575
2019-09-11,3,PM10,20.101537036666667
2019-09-11,3,PM25,7.218063909222222
2019-09-11,2,PM10,20.057766208416666
2019-09-11,2,PM25,7.295947115138889
2019-09-11,1,PM10,15.9534676
2019-09-11,1,PM25,5.6084324180000005
2019-09-12,4,PM10,15.86353125
2019-09-12,4,PM25,10.345843749250001
2019-09-12,3,PM10,26.720550084444444
2019-09-12,3,PM25,8.090228683666666
2019-09-12,2,PM10,22.01571358675
2019-09-12,2,PM25,7.499712342527778
2019-09-12,1,PM10,12.89795217875
2019-09-12,1,PM25,4.158016349625
2019-09-13,4,PM10,10.80675
2019-09-13,4,PM25,3.99307291575
2019-09-13,3,PM10,34.132592594444446
2019-09-13,3,PM25,10.457397111888888
2019-09-13,2,PM10,32.93797936730555
2019-09-13,2,PM25,10.513389404249999
2019-09-13,1,PM10,19.6669762225
2019-09-13,1,PM25,5.857949296
2019-09-14,4,PM10,7.95689583425
2019-09-14,4,PM25,2.792525
2019-09-14,3,PM10,24.287069443333333
2019-09-14,3,PM25,8.124621309666667
2019-09-14,2,PM10,22.632729165833332
2019-09-14,2,PM25,8.738665568944445
