Site_Id,Date,SiteName,Longitude,Latitude,param,value
33,2019-09-13,RANDWICK,151.242802,-33.931776,PM2.5,10.08808333
33,2019-09-14,RANDWICK,151.242802,-33.931776,PM10,24.92195833
33,2019-09-14,RANDWICK,151.242802,-33.931776,PM2.5,9.182041667
33,2019-09-15,RANDWICK,151.242802,-33.931776,PM10,24.94616667
33,2019-09-15,RANDWICK,151.242802,-33.931776,PM2.5,11.80009091
33,2019-09-16,RANDWICK,151.242802,-33.931776,PM10,25.96929167
33,2019-09-16,RANDWICK,151.242802,-33.931776,PM2.5,10.76318182
33,2019-09-17,RANDWICK,151.242802,-33.931776,PM10,17.09975
33,2019-09-17,RANDWICK,151.242802,-33.931776,PM2.5,5.885
33,2019-09-18,RANDWICK,151.242802,-33.931776,PM10,20.34616667
33,2019-09-18,RANDWICK,151.242802,-33.931776,PM2.5,7.085652174
33,2019-09-19,RANDWICK,151.242802,-33.931776,PM10,19.74545833
33,2019-09-19,RANDWICK,151.242802,-33.931776,PM2.5,8.6496
33,2019-09-20,RANDWICK,151.242802,-33.931776,PM10,22.09258333
33,2019-09-20,RANDWICK,151.242802,-33.931776,PM2.5,12.708
33,2019-09-21,RANDWICK,151.242802,-33.931776,PM10,25.531375
33,2019-09-21,RANDWICK,151.242802,-33.931776,PM2.5,9.382565217
33,2019-09-22,RANDWICK,151.242802,-33.931776,PM10,27.859875
33,2019-09-22,RANDWICK,151.242802,-33.931776,PM2.5,11.10647826
33,2019-09-23,RANDWICK,151.242802,-33.931776,PM10,9.337333333
33,2019-09-23,RANDWICK,151.242802,-33.931776,PM2.5,8.737956522
33,2019-09-24,RANDWICK,151.242802,-33.931776,PM10,12.23420833
33,2019-09-24,RANDWICK,151.242802,-33.931776,PM2.5,6.186666667
33,2019-09-25,RANDWICK,151.242802,-33.931776,PM10,15.39633333
33,2019-09-25,RANDWICK,151.242802,-33.931776,PM2.5,5.548909091
33,2019-09-26,RANDWICK,151.242802,-33.931776,PM10,19.55554167
33,2019-09-26,RANDWICK,151.242802,-33.931776,PM2.5,8.725954545
33,2019-09-27,RANDWICK,151.242802,-33.931776,PM10,20.48013043
33,2019-09-27,RANDWICK,151.242802,-33.931776,PM2.5,12.3745
33,2019-09-28,RANDWICK,151.242802,-33.931776,PM10,21.025375
33,2019-09-28,RANDWICK,151.242802,-33.931776,PM2.5,5.702681818
33,2019-09-29,RANDWICK,151.242802,-33.931776,PM10,21.86466667
33,2019-09-29,RANDWICK,151.242802,-33.931776,PM2.5,8.72925
33,2019-09-30,RANDWICK,151.242802,-33.931776,PM10,17.65254167
33,2019-09-30,RANDWICK,151.242802,-33.931776,PM2.5,11.7410625
33,2019-10-01,RANDWICK,151.242802,-33.931776,PM10,13.81154167
33,2019-10-01,RANDWICK,151.242802,-33.931776,PM2.5,8.70975
33,2019-10-02,RANDWICK,151.242802,-33.931776,PM10,20.849875
33,2019-10-02,RANDWICK,151.242802,-33.931776,PM2.5,10.29028571
33,2019-10-03,RANDWICK,151.242802,-33.931776,PM10,28.92475
33,2019-10-03,RANDWICK,151.242802,-33.931776,PM2.5,13.75973913
33,2019-10-04,RANDWICK,151.242802,-33.931776,PM10,33.74886364
33,2019-10-04,RANDWICK,151.242802,-33.931776,PM2.5,11.12681818
33,2019-10-05,RANDWICK,151.242802,-33.931776,PM10,13.50079167
33,2019-10-05,RANDWICK,151.242802,-33.931776,PM2.5,7.680684211
33,2019-10-06,RANDWICK,151.242802,-33.931776,PM10,18.58916667
33,2019-10-06,RANDWICK,151.242802,-33.931776,PM2.5,10.52916667
33,2019-10-07,RANDWICK,151.242802,-33.931776,PM10,32.1035
33,2019-10-07,RANDWICK,151.242802,-33.931776,PM2.5,13.15484211
33,2019-10-08,RANDWICK,151.242802,-33.931776,PM10,17.28175
33,2019-10-08,RANDWICK,151.242802,-33.931776,PM2.5,6.75045
33,2019-10-09,RANDWICK,151.242802,-33.931776,PM10,12.79275
33,2019-10-09,RANDWICK,151.242802,-33.931776,PM2.5,9.20847619
33,2019-10-10,RANDWICK,151.242802,-33.931776,PM10,17.17316667
33,2019-10-10,RANDWICK,151.242802,-33.931776,PM2.5,8.17935
33,2019-10-11,RANDWICK,151.242802,-33.931776,PM10,10.90929167
33,2019-10-11,RANDWICK,151.242802,-33.931776,PM2.5,8.1522
33,2019-10-12,RANDWICK,151.242802,-33.931776,PM10,13.49254167
